,Team,Location,Founded,Championships,Playoff_Appearances
0,Atlanta Hawks,"Atlanta, Georgia",1949-50,1,49
1,Boston Celtics,"Boston, Massachusetts",1946-47,18,62
2,Brooklyn Nets,"Brooklyn, New York",1967-68,2,31
3,Charlotte Hornets,"Charlotte, North Carolina",1988-89,0,10
4,Chicago Bulls,"Chicago, Illinois",1966-67,6,36
5,Cleveland Cavaliers,"Cleveland, Ohio",1970-71,1,25
6,Dallas Mavericks,"Dallas, Texas",1980-81,1,25
7,Denver Nuggets,"Denver, Colorado",1967-68,1,40
8,Detroit Pistons,"Detroit, Michigan",1948-49,3,43
9,Golden State Warriors,"San Francisco, California",1946-47,7,38
10,Houston Rockets,"Houston, Texas",1967-68,2,35
11,Indiana Pacers,"Indianapolis, Indiana",1967-68,3,38
12,Los Angeles Clippers,"Los Angeles, California",1970-71,0,19
13,Los Angeles Lakers,"Los Angeles, California",1948-49,17,65
14,Memphis Grizzlies,"Memphis, Tennessee",1995-96,0,14
15,Miami Heat,"Miami, Florida",1988-89,3,26
16,Milwaukee Bucks,"Milwaukee, Wisconsin",1968-69,2,37
17,Minnesota Timberwolves,"Minneapolis, Minnesota",1989-90,0,13
18,New Orleans Pelicans,"New Orleans, Louisiana",2002-03,0,9
19,New York Knicks,"New York, New York",1946-47,2,46
20,Oklahoma City Thunder,"Oklahoma City, Oklahoma",1967-68,2,34
21,Orlando Magic,"Orlando, Florida",1989-90,0,18
22,Philadelphia 76ers,"Philadelphia, Pennsylvania",1949-50,3,54
23,Phoenix Suns,"Phoenix, Arizona",1968-69,0,33
24,Portland Trail Blazers,"Portland, Oregon",1970-71,1,37
25,Sacramento Kings,"Sacramento, California",1948-49,1,30
26,San Antonio Spurs,"San Antonio, Texas",1967-68,5,47
27,Toronto Raptors,"Toronto, Canada",1995-96,1,13
28,Utah Jazz,"Salt Lake City, Utah",1974-75,0,31
29,Washington Wizards,"Washington, District of Columbia",1961-62,1,30
